date,date_raw,author,rating,title,text,product_slug,product_url,image_url
2026-07-23,23. Juli 2026,Urs,5.0,super Service!,"Produkt wie beschrieben, schnelle Lieferung, sehr freundlicher Support, sehr gerne wieder!",jugglux-gutschein-im-wert-von-100.,https://www.jugglux.ch/spiele-und-geschenke/geschenkideen/geschenkgutscheine/jugglux-gutschein-im-wert-von-100..html,https://www.jugglux.ch/media/image/31/90/1c/jugglux-gutschein-im-wert-von-100-221238-33687_600x600.jpg
2026-07-23,23. Juli 2026,H1,5.0,50 optische Ilusionen,Spannende optische Täuschungen für jung und alt. Gut gestaltet.,50-optische-illusionen,https://www.jugglux.ch/experimente-und-magie/physikspiele-und-co/optisches-und-beobachten/50-optische-illusionen.html,https://www.jugglux.ch/media/image/79/ab/fb/50-optische-illusionen-230899-37620_600x600.jpg
2026-07-19,19. Juli 2026,Doris,5.0,Meine Kollegin hat gerade gefragt wo här ich den Ring habe Dan habe ich den Link geschickt . Wir sind alle begeistert.,Einfach super,fidget-ring-goldfarben-mit-rotierendem-blauen-schmetterling,https://www.jugglux.ch/outdoor-und-freizeit/fidget-toys/fidget-ring/fidget-ring-goldfarben-mit-rotierendem-blauen-schmetterling.html,https://www.jugglux.ch/media/image/45/73/33/Fidget-Ring-goldfarben-mit-rotierendem-blauen-Schmetterling_600x600.jpg
2026-07-18,18. Juli 2026,Sebastian,5.0,Schneller Versand - super Ware!,"Der Versand ging super schnell, Sonntag Abend bestellt, Dienstag war es schon bei uns!
TAC als Spiel kenne ich seit vielen Jahren, das kann man nur weiterempfehlen. Die richtige Mischung g aus Taktik, Spaß und unkompliziertem Spiel!
Macht einfach Freude",das-kleine-tac,https://www.jugglux.ch/spiele-und-geschenke/brettspiele/familienspiele/das-kleine-tac.html,https://www.jugglux.ch/media/image/b8/8b/1a/Das-kleine-TAC-4260169890201_600x600.jpg
2026-07-17,17. Juli 2026,Raum der Impulse Handpan,5.0,Tolle Kindheitserinnerungen,"Ich bin hoch er freut, dass es diesen Artikel immer noch gibt, superflotter Lieferservice, sehr sympathisch, gerne wieder.",modellbogen-schloss-sargans,https://www.jugglux.ch/experimente-und-magie/bastelbogen-und-modellbogen/modellbogen/modellbogen-schloss-sargans.html,https://www.jugglux.ch/media/image/74/11/d3/modellbogen-schloss-sargans-270583-46648_600x600.jpg
2026-07-13,13. Juli 2026,Sandra,5.0,Top Service,Ich habe den Artikel online bestellt und konnte ihn am nächsten Tag im Laden abholen. Es hat alles super geklappt.,gravitrax-erweiterung-spirale,https://www.jugglux.ch/kurioses-und-kultiges/murmeln-und-zubehoer/kugelbahnen/gravitrax-erweiterung-spirale.html,https://www.jugglux.ch/media/image/a6/ce/77/gravitrax-erweiterung-spirale-219892-45161_600x600.jpg
2026-07-09,9. Juli 2026,Steph,5.0,Top !,"Super, (noch) besser als erwartet.",fidgnetics-magnetische-sensorik-kugeln-set-mit-6-stueck-gruen-blau,https://www.jugglux.ch/kurioses-und-kultiges/kleinigkeiten-und-verspieltes/beruehren-und-fuehlen/fidgnetics-magnetische-sensorik-kugeln-set-mit-6-stueck-gruen-blau.html,https://www.jugglux.ch/media/image/93/fd/b1/FidgNetics-magnetische-Sensorik-Kugeln-gr-n-blau-4260612176517_600x600.jpg
2026-07-09,9. Juli 2026,Steph,1.0,Enttàuschend,"Sehr schwergängig, deshalb leider keine Spur vom beworbenen ""stundenlangen, fesselnden Spass"": Nach wenigen Augenblicken legt man den Orb frustriert zur Seite, das erhoffte ""Gehirnkitzeln"" bleibt komplett aus.
""Leicht und angenehm in der Hand"" - meiner Meinung nach ZU leicht, das Plastik ist sehr warm und daher für mich nicht angenehm. Die Idee und Struktur sind gut - tatsächlich hätte ich gern eine leichtgängige, schwerere und angenehm kühle Metallversion, für die wahrscheinlich nicht nur ich gern mehr bezahlen würde.",orb-fidget-gear-ball-der-verwandlungskuenstler,https://www.jugglux.ch/kurioses-und-kultiges/kleinigkeiten-und-verspieltes/beruehren-und-fuehlen/orb-fidget-gear-ball-der-verwandlungskuenstler.html,https://www.jugglux.ch/media/image/cd/01/05/Orb-Fidget-Der-Verwandlungsk-nstler-4260612176807_600x600.jpg
2026-07-07,7. Juli 2026,Sarina,5.0,super preiswert,,set-mit-100-spielfiguren-in-4-farben,https://www.jugglux.ch/spiele-und-geschenke/spielmaterial/spielfiguren-halmakegel/set-mit-100-spielfiguren-in-4-farben.html,https://www.jugglux.ch/media/image/95/a4/8d/satz-aus-100-spielfiguren-in-4-farben_600x600.jpg
2026-07-07,7. Juli 2026,Sarina,5.0,klein & handlich,,wuerfel-8mm-preis-pro-stk-zufaellige-farbe,https://www.jugglux.ch/spiele-und-geschenke/wuerfel-fuer-spiele/wuerfel-mit-6-flaechen/wuerfel-8mm-preis-pro-stk-zufaellige-farbe.html,https://www.jugglux.ch/media/image/0f/f8/6d/W-rfel-8mm-Preis-pro-Stk_600x600.jpg
2026-07-05,5. Juli 2026,Maja,5.0,Kusspüppchen,"Schnell eingetroffen und genau wie auf dem Bild. Danke, bin sehr zufrieden.",kusspuppen-blau-weiss,https://www.jugglux.ch/experimente-und-magie/physikspiele-und-co/magnetische-spiele/kusspuppen-blau-weiss.html,https://www.jugglux.ch/media/image/ac/ef/dc/kusspuppen-blau-weiss-232067-41797_600x600.jpg
2026-07-03,3. Juli 2026,Andrea,5.0,qualitativ hochwertige Verarbeitung & einfache Montage,"Die Verankerungsplatte ist leicht zu montieren, äusserst stabil und hochwertig verarbeitet. Dank dem Silikonschutz, ist der Karabiner geschützt und es entstehen weder Reibung noch unangenehme Geräusche. Ich habe mehrere Verankerungsplatten getestet - Diese ist mein Favorit. Sie ist durchdacht und elegant gestaltet.",verankerungsplatte-in-weiss-fuer-holzdecken,https://www.jugglux.ch/jonglieren-und-artistik/artistik-medien-und-zirkusartikel/trapez/verankerungsplatte-in-weiss-fuer-holzdecken.html,https://www.jugglux.ch/media/image/ab/6d/c6/verankerungsplatte-in-weiss-fur-holzdecken-258967-46475_600x600.jpg
2026-07-02,2. Juli 2026,Bri,5.0,Super Spiel zum Mitnehmen und auf viele verschiedenen Arten spielen,"Das Spiel macht bei uns allen Spass. Outdoor wie indoor gut zu gebrauchen, sehr schön verarbeitet.",maya-flya-yippiyappa-wurfspiel-mit-hackysack,https://www.jugglux.ch/outdoor-und-freizeit/outdoor-und-gartenspiele/crossboccia-und-crossboule/maya-flya-yippiyappa-wurfspiel-mit-hackysack.html,https://www.jugglux.ch/media/image/06/db/e6/Maya-Flya-YippiYappa-Wurfspiel-mit-Hackysack_600x600.jpg
2026-07-01,1. Juli 2026,Doris Schmutz Halbeisen,5.0,Sehr rasche Zustellung! Flexible unkomplizierte zu Änderung der Zustelladresse,top,flutschie-glitzer-wasserschlange,https://www.jugglux.ch/kurioses-und-kultiges/kleinigkeiten-und-verspieltes/flutschie-schleimi-und-klebriges/flutschie-glitzer-wasserschlange.html,https://www.jugglux.ch/media/image/00/40/f6/Flutschie-Glitzer-Wasserschlange-5021813200413_600x600.jpg
2026-07-01,1. Juli 2026,Noirjean,5.0,Pierre carambole,Bonne qualité et livraison rapide dR8SG,original-carambole-steine-standard-aus-kunststoff,https://www.jugglux.ch/spiele-und-geschenke/gesellschaftsspiele/carambole-brett-und-zubehoer/original-carambole-steine-standard-aus-kunststoff.html,https://www.jugglux.ch/media/image/44/c0/36/original-carambole-steine-standard-aus-kunststoff-222767-37453_600x600.jpg
2026-06-30,30. Juni 2026,Elisabeth,5.0,Läuft!,"Der Einbau war super einfach. Das Material der Schlaufen ist sehr angenehm. Das beste aber sind die Wirbel, sie sind sehr leichtgängig und Orbitals gehen damit wunderbar. Klare Empfehlung.",flowleash-plus-fuer-podpois-paar,https://www.jugglux.ch/jonglieren-und-artistik/poi-leuchtpoi-levistick-und-zubehoer/zubehoer-fuer-poi/flowleash-plus-fuer-podpois-paar.html,https://www.jugglux.ch/media/image/ca/b8/3d/poi-flow-leash-plus-pair-smithy-floop-handle-set_flowtoys_no-washer_600x600.jpg
2026-06-30,30. Juni 2026,Elisabeth,5.0,Sehr angenehm!,"Ich finde diese Schlaufen super und nutze sie für fast alle meine Pois. Das Material ist weich und sehr angenehm, auch nach langem spielen reibt nichts. Sie sind ein kleines bisschen dehnbar, insgesamt aber fest und halten gut was aus.",flowleash-handles-paar,https://www.jugglux.ch/jonglieren-und-artistik/poi-leuchtpoi-levistick-und-zubehoer/zubehoer-fuer-poi/flowleash-handles-paar.html,https://www.jugglux.ch/media/image/b8/db/3e/flowleash-handles-paar-235640-45042_600x600.png
