date,date_raw,author,rating,title,text,product_slug,product_url,image_url
2026-07-30,30. Juli 2026,Hansjürg Schnetzer,5.0,Gute Qualität. Der Hartkunstoff-Schutz ist langlebig und wird nicht spröde. Schnelle Lieferung. Alles Top.,"Wir brauchen die Sättel für die Kunstradfahren Uzwil.
Auch unsere Weltmeisterinnen finden die Sättel sehr gut.",einradsattel-luxus-schwarz,https://www.jugglux.ch/outdoor-und-freizeit/einrad-und-zubehoer/einrad-sattel/einradsattel-luxus-schwarz.html,https://www.jugglux.ch/media/image/01/d5/3d/einradsattel-luxus-schwarz-235897-30652_600x600.jpg
2026-07-29,29. Juli 2026,Francis,5.0,Bewertung,Sehr schnelle und einwandfrei Lieferung. Vielen Dank,stereo-lorgnette,https://www.jugglux.ch/experimente-und-magie/physikspiele-und-co/optisches-und-beobachten/stereo-lorgnette.html,https://www.jugglux.ch/media/image/3b/db/d7/stereo-lorgnette-230587-35164_600x600.jpg
2026-07-27,27. Juli 2026,Karin,4.5,Sehr zufrieden,"Der HyperSpin läuft ruhig und lange. Er ist etwas grösser wie der letzte Diabolo, den wir hatten. Somit ist er etwas einfacher zu fangen. Jedoch sind wenige Tricks (z.B. Dampfwalze) etwas schwieriger, weil der Diabolo grösser ist. Er ist ebenfalls wenig lauter. Dafür ist er 70gr. Leichter, was ich sehr positiv finde. Ich würde wieder kaufen.",hyperspin-t-bearing-diabolo-violett,https://www.jugglux.ch/jonglieren-und-artistik/diabolos-und-zubehoer/diabolos-mit-kugellager/hyperspin-bearing-diabolos/hyperspin-t-bearing-diabolo-violett.html,https://www.jugglux.ch/media/image/76/ae/ac/hyperspin-t-bearing-diabolo-violett-235559-43430_600x600.png
2026-07-23,23. Juli 2026,Urs,5.0,super Service!,"Produkt wie beschrieben, schnelle Lieferung, sehr freundlicher Support, sehr gerne wieder!",jugglux-gutschein-im-wert-von-100.,https://www.jugglux.ch/spiele-und-geschenke/geschenkideen/geschenkgutscheine/jugglux-gutschein-im-wert-von-100..html,https://www.jugglux.ch/media/image/31/90/1c/jugglux-gutschein-im-wert-von-100-221238-33687_600x600.jpg
2026-07-23,23. Juli 2026,H1,5.0,50 optische Ilusionen,Spannende optische Täuschungen für jung und alt. Gut gestaltet.,50-optische-illusionen,https://www.jugglux.ch/experimente-und-magie/physikspiele-und-co/optisches-und-beobachten/50-optische-illusionen.html,https://www.jugglux.ch/media/image/79/ab/fb/50-optische-illusionen-230899-37620_600x600.jpg
2026-07-19,19. Juli 2026,Doris,5.0,Meine Kollegin hat gerade gefragt wo här ich den Ring habe Dan habe ich den Link geschickt . Wir sind alle begeistert.,Einfach super,fidget-ring-goldfarben-mit-rotierendem-blauen-schmetterling,https://www.jugglux.ch/outdoor-und-freizeit/fidget-toys/fidget-ring/fidget-ring-goldfarben-mit-rotierendem-blauen-schmetterling.html,https://www.jugglux.ch/media/image/45/73/33/Fidget-Ring-goldfarben-mit-rotierendem-blauen-Schmetterling_600x600.jpg
2026-07-18,18. Juli 2026,Sebastian,5.0,Schneller Versand - super Ware!,"Der Versand ging super schnell, Sonntag Abend bestellt, Dienstag war es schon bei uns!
TAC als Spiel kenne ich seit vielen Jahren, das kann man nur weiterempfehlen. Die richtige Mischung g aus Taktik, Spaß und unkompliziertem Spiel!
Macht einfach Freude",das-kleine-tac,https://www.jugglux.ch/spiele-und-geschenke/brettspiele/familienspiele/das-kleine-tac.html,https://www.jugglux.ch/media/image/b8/8b/1a/Das-kleine-TAC-4260169890201_600x600.jpg
2026-07-17,17. Juli 2026,Raum der Impulse Handpan,5.0,Tolle Kindheitserinnerungen,"Ich bin hoch er freut, dass es diesen Artikel immer noch gibt, superflotter Lieferservice, sehr sympathisch, gerne wieder.",modellbogen-schloss-sargans,https://www.jugglux.ch/experimente-und-magie/bastelbogen-und-modellbogen/modellbogen/modellbogen-schloss-sargans.html,https://www.jugglux.ch/media/image/74/11/d3/modellbogen-schloss-sargans-270583-46648_600x600.jpg
2026-07-13,13. Juli 2026,Sandra,5.0,Top Service,Ich habe den Artikel online bestellt und konnte ihn am nächsten Tag im Laden abholen. Es hat alles super geklappt.,gravitrax-erweiterung-spirale,https://www.jugglux.ch/kurioses-und-kultiges/murmeln-und-zubehoer/kugelbahnen/gravitrax-erweiterung-spirale.html,https://www.jugglux.ch/media/image/a6/ce/77/gravitrax-erweiterung-spirale-219892-45161_600x600.jpg
2026-07-09,9. Juli 2026,Steph,5.0,Top !,"Super, (noch) besser als erwartet.",fidgnetics-magnetische-sensorik-kugeln-set-mit-6-stueck-gruen-blau,https://www.jugglux.ch/kurioses-und-kultiges/kleinigkeiten-und-verspieltes/beruehren-und-fuehlen/fidgnetics-magnetische-sensorik-kugeln-set-mit-6-stueck-gruen-blau.html,https://www.jugglux.ch/media/image/93/fd/b1/FidgNetics-magnetische-Sensorik-Kugeln-gr-n-blau-4260612176517_600x600.jpg
